,id,location,longitude,latitude,temp_j+0,pop_j+0,clouds_j+0,rain_j+0,rain_vol_j+0,temp_j+1,pop_j+1,clouds_j+1,rain_j+1,rain_vol_j+1,temp_j+2,pop_j+2,clouds_j+2,rain_j+2,rain_vol_j+2,temp_j+3,pop_j+3,clouds_j+3,rain_j+3,rain_vol_j+3,temp_j+4,pop_j+4,clouds_j+4,rain_j+4,rain_vol_j+4,temp_j+5,pop_j+5,clouds_j+5,rain_j+5,rain_vol_j+5,temp_j+6,pop_j+6,clouds_j+6,rain_j+6,rain_vol_j+6,avg_7_days_clouds,7_days_expected_rain_volume,avg_7_days_temp
11,281826068,Colmar,7.3579641,48.0777517,7.13,0,57,0.1,0.0,7.4,0,97,0.1,0.0,8.39,0,1,0.1,0.0,6.6,0,1,0.1,0.0,7.52,0,3,0.1,0.0,3.93,0.35,98,0.1,0.034999999999999996,3.63,0.39,99,0.1,0.03900000000000001,50.857142857142854,0.07400000000000001,6.371428571428573
12,282202896,Eguisheim,7.3079618,48.0447968,7.32,0,60,0.1,0.0,7.71,0,96,0.1,0.0,8.65,0,0,0.1,0.0,6.45,0,0,0.1,0.0,7.38,0,3,0.1,0.0,3.8,0.35,97,0.1,0.034999999999999996,3.33,0.38,100,0.1,0.038000000000000006,50.857142857142854,0.07300000000000001,6.377142857142856
13,281814660,Besancon,6.0243622,47.2380222,9.81,0,60,0.1,0.0,9.76,0,96,0.1,0.0,10.38,0,13,0.1,0.0,8.46,0,0,0.1,0.0,7.62,0,0,0.1,0.0,5.12,0,42,0.1,0.0,6.59,0,100,0.1,0.0,44.42857142857143,0.0,8.248571428571427
14,282038287,Dijon,5.0414701,47.3215806,8.08,0,96,0.1,0.0,8.18,0,100,0.1,0.0,10.01,0,95,0.1,0.0,7.86,0,0,0.1,0.0,6.63,0,0,0.1,0.0,6.12,0,52,0.1,0.0,4.26,0.18,100,0.1,0.018,63.285714285714285,0.018,7.305714285714285
15,282783909,Annecy,6.1288847,45.8992348,9.04,0,9,0.1,0.0,9.37,0,100,0.1,0.0,10.23,0,10,0.1,0.0,7.77,0,17,0.1,0.0,7.15,0.04,12,0.1,0.004,3.98,0.27,92,0.1,0.027000000000000003,5.6,0.12,100,0.1,0.012,48.57142857142857,0.043000000000000003,7.591428571428571
16,281800905,Grenoble,5.7357819,45.1875602,12.11,0,16,0.1,0.0,11.95,0,100,0.1,0.0,12.54,0,19,0.1,0.0,10.22,0,6,0.1,0.0,9.58,0.18,5,0.1,0.018,7.34,0.11,56,0.1,0.011000000000000001,7.04,0.53,100,0.16,0.0848,43.142857142857146,0.1138,10.111428571428572
17,106250,Lyon,4.8320114,45.7578137,9.21,0,81,0.16,0.0,10.21,0,100,0.16,0.0,11.03,0.11,95,0.16,0.0176,10.38,0,1,0.16,0.0,7.77,0,0,0.16,0.0,7.26,0.01,40,0.16,0.0016,4.73,0.12,98,0.16,0.0192,59.285714285714285,0.038400000000000004,8.655714285714286
18,77029462,Gorges du Verdon,6.3285616,43.7496562,6.05,0.01,49,0.16,0.0016,7.49,0,82,0.16,0.0,8.88,0,42,0.16,0.0,6.61,0.74,100,2.22,1.6428,5.33,0.83,97,9.98,8.2834,4.31,0.73,58,2.87,2.0951,3.61,1,98,0.92,0.92,75.14285714285714,12.942900000000002,6.04
19,282091180,Bormes les Mimosas,6.329253867921363,43.1572172,9.95,0.25,47,0.92,0.23,10.89,0.02,27,0.92,0.0184,10.88,0.25,61,0.92,0.23,9.21,0.77,73,3.78,2.9106,10.66,0.87,92,5.68,4.941599999999999,11.06,0.39,21,0.39,0.1521,9.22,0.85,99,6.24,5.304,60.0,13.786700000000002,10.267142857142858
20,281762295,Cassis,5.5396318,43.2140359,11.76,0.32,8,6.24,1.9968000000000001,10.89,0.1,36,6.24,0.6240000000000001,11.92,0.18,9,6.24,1.1232,12.97,0.28,13,0.11,0.030800000000000004,9.21,0.59,59,4.86,2.8674,10.51,0.25,4,0.47,0.1175,9.92,0.71,100,3.26,2.3145999999999995,32.714285714285715,9.0743,11.025714285714287
21,124969,Marseille,5.3699525,43.2961743,12.03,0.25,7,3.26,0.815,10.84,0.08,44,3.26,0.2608,11.59,0.15,7,3.26,0.48899999999999993,12.9,0.17,6,3.26,0.5542,9.69,0.54,60,4,2.16,10.52,0.2,2,0.32,0.064,9.75,0.66,98,3.18,2.0988,32.0,6.441800000000001,11.045714285714284
22,281716908,Aix en Provence,5.4474738,43.5298424,11.13,0.13,9,3.18,0.41340000000000005,10.58,0,80,3.18,0.0,12.1,0,11,3.18,0.0,12.04,0.13,7,3.18,0.41340000000000005,9.11,0.72,72,4.53,3.2616,9.66,0.25,6,0.11,0.0275,9.43,0.8,91,6.26,5.008,39.42857142857143,9.123899999999999,10.578571428571431
23,16761933,Avignon,4.8059012,43.9492493,12.59,0,8,6.26,0.0,11.46,0,88,6.26,0.0,12.44,0,14,6.26,0.0,13.1,0,1,6.26,0.0,11.33,0.21,0,6.26,1.3146,10.2,0,2,6.26,0.0,9,0.36,94,6.26,2.2536,29.571428571428573,3.5682,11.445714285714287
24,282263463,Uzes,4.4196718,44.0121279,11.99,0,6,6.26,0.0,9.33,0,99,6.26,0.0,11.48,0,39,6.26,0.0,13.53,0,3,6.26,0.0,11.2,0.03,0,6.26,0.1878,10.23,0,1,6.26,0.0,7.84,0.2,100,6.26,1.252,35.42857142857143,1.4398,10.8
25,282310054,Nimes,4.3600687,43.8374249,12.52,0,12,6.26,0.0,10.37,0,100,6.26,0.0,12.53,0,20,6.26,0.0,14.49,0,3,6.26,0.0,11.99,0.02,0,6.26,0.1252,11.04,0,0,6.26,0.0,8.73,0.15,100,6.26,0.939,33.57142857142857,1.0642,11.667142857142858
26,282009726,Aigues Mortes,4.1912837,43.5658225,12.04,0,15,6.26,0.0,10.63,0.08,100,6.26,0.5008,12.23,0.01,10,6.26,0.0626,13.81,0,11,6.26,0.0,11.35,0.01,1,6.26,0.0626,9.74,0,1,6.26,0.0,8.81,0.13,92,6.26,0.8138,32.857142857142854,1.4398,11.230000000000002
27,282321559,Saintes Maries de la mer,4.4287172,43.4522771,11.87,0.04,11,6.26,0.2504,10.81,0.09,100,6.26,0.5634,11.62,0.04,7,6.26,0.2504,13.05,0,7,6.26,0.0,11.13,0.03,0,6.26,0.1878,9.88,0,2,6.26,0.0,8.87,0.14,84,6.26,0.8764000000000001,30.142857142857142,2.1284,11.032857142857143
28,282185152,Collioure,3.0831554,42.52505,11.88,0.32,100,0.24,0.0768,13.36,0.99,100,6,5.9399999999999995,13.59,0.89,7,6,5.34,12.61,0.1,70,6,0.6000000000000001,11.9,0.15,76,6,0.8999999999999999,10.6,0.23,16,6,1.3800000000000001,10.3,0.15,79,6,0.8999999999999999,64.0,15.136800000000001,12.034285714285714
29,281690754,Carcassonne,2.3491069,43.2130358,13.44,0,55,6,0,10.96,0.97,100,4.95,4.8015,14.61,0.73,6,4.95,3.6135,6.9,0.74,100,5.35,3.9589999999999996,9.54,0.64,81,0.54,0.3456,8.49,0.4,93,0.89,0.35600000000000004,8.06,0.28,89,0.89,0.24920000000000003,74.85714285714286,13.324799999999998,10.285714285714286
30,281653603,Ariege,1.4065544156065486,42.9455368,10.47,0,23,0.89,0.0,5.04,0.99,92,4.97,4.9203,8.54,0.83,9,2.11,1.7512999999999999,2.9,0.91,100,9.17,8.3447,0.96,0.57,93,0.43,0.24509999999999998,0.67,0.79,98,0.6,0.474,-0.19,0.76,99,0.6,0.45599999999999996,73.42857142857143,16.1914,4.055714285714286
31,121019,Toulouse,1.4442469,43.6044622,14.6,0,46,0.6,0.0,10.83,1,100,5.34,5.34,13.43,0.61,11,5.34,3.2573999999999996,7.1,0.86,100,9.07,7.8002,9.18,0.57,66,0.36,0.20519999999999997,9.05,0.38,92,1.3,0.49400000000000005,7.15,0.76,87,1.34,1.0184,71.71428571428571,18.1152,10.191428571428572
32,281776059,Montauban,1.3549991,44.0175835,14.55,0,72,1.34,0.0,10.98,0.88,100,5.35,4.707999999999999,13.3,0.3,69,5.35,1.6049999999999998,7.05,0.72,100,4.21,3.0311999999999997,8.46,0.41,90,0.66,0.2706,8.71,0.25,61,0.66,0.165,7.17,0.45,94,0.8,0.36000000000000004,83.71428571428571,10.139799999999997,10.031428571428572
33,281846455,Biarritz,-1.5592776,43.4832523,15.25,0.2,100,0.12,0.024,10.5,1,98,3.32,3.32,9.64,1,100,17.49,17.49,9.64,1,100,6.95,6.95,8.57,0.78,99,5.18,4.0404,7.71,0.74,86,2.83,2.0942,7.93,0.23,12,0.14,0.032200000000000006,85.0,33.9508,9.891428571428573
34,282243106,Bayonne,-1.475099,43.4933379,15.57,0.2,100,0.15,0.03,10.58,1,96,2.49,2.49,9.55,1,100,15.91,15.91,9.56,1,100,6.43,6.43,8.82,0.75,99,4.86,3.6450000000000005,8.04,0.7,78,2.75,1.9249999999999998,8.18,0.24,12,2.75,0.6599999999999999,83.57142857142857,31.09,10.042857142857144
35,281822562,La Rochelle,-1.1520434,46.1591126,11.85,0.3,82,2.75,0.825,9.66,0.96,100,1.8,1.728,9.7,1,100,6.65,6.65,9.53,0.4,96,6.65,2.66,6.35,0.36,95,0.86,0.3096,8.12,0,0,0.86,0.0,7.44,0.2,1,0.15,0.03,67.71428571428571,12.202599999999999,8.95
